识别结果,文件名,文本值,预期值
"('扶桑', 0.982)",0_y298_y325_item6.png,扶桑,扶桑
"('虽昂', 0.869)",0_y301_y329_item0.png,虽昂,里昂
"('阿金库尔', 0.913)",0_y301_y329_item1.png,阿金库尔,阿金库尔
"('新泽西', 0.945)",0_y301_y329_item2.png,新泽西,新泽西
"('新墨西哥', 0.936)",0_y301_y329_item3.png,新墨西哥,新墨西哥
"('印第安纳', 0.951)",0_y301_y329_item4.png,印第安纳,印第安纳
"('.滕', 0.846)",0_y301_y329_item5.png,胡滕,乌尔里希·冯·胡滕
"('联合力量', 0.935)",0_y301_y329_item6.png,联合力量,联合力量
"('诺福大克', 0.897)",0_y306_y334_item0.png,诺福大克,
"('塔斯卡卢萨', 0.947)",0_y306_y334_item1.png,塔斯卡卢萨,塔斯卡卢萨
"('布吕歇尔', 0.962)",0_y306_y334_item2.png,布吕歇尔,布吕歇尔
"('阿尔及利亚', 0.937)",0_y306_y334_item3.png,阿尔及利亚,阿尔及利亚
"('扎拉', 0.936)",0_y306_y334_item4.png,扎拉,扎拉
"('德梅国', 0.911)",0_y306_y334_item5.png,德梅国,德梅因
"('萨福克', 0.924)",0_y306_y334_item6.png,萨福克,萨福克
"('卡伯特', 0.920)",0_y309_y337_item0.png,卡伯特,卡伯特
"('甘比尔湾', 0.945)",0_y309_y337_item1.png,甘比尔湾,甘比尔湾
"('塞班', 0.889)",0_y309_y337_item2.png,塞班,塞班
"('桑援', 0.929)",0_y309_y337_item3.png,桑援,桑提
"('圣哈辛托', 0.954)",0_y309_y337_item4.png,圣哈辛托,圣哈辛托
"('鹞鹰', 0.927)",0_y309_y337_item5.png,鹞鹰,鹞鹰
"('贝劳伍肇', 0.860)",0_y309_y337_item6.png,贝劳伍肇,贝劳伍德
"('杜布雷', 0.909)",0_y347_y375_item0.png,杜布雷,杜布雷
"('文森斯', 0.945)",0_y347_y375_item1.png,文森斯,文森斯
"('康沃尔', 0.948)",0_y347_y375_item2.png,康沃尔,康沃尔
"('芝加哥', 0.923)",0_y347_y375_item3.png,芝加哥,芝加哥
"('戈里齐亚', 0.898)",0_y347_y375_item4.png,戈里齐亚,戈里齐亚
"('波:拉', 0.898)",0_y347_y375_item5.png,波:拉,波拉
"('律文郡', 0.911)",0_y347_y375_item6.png,律文郡,德文郡
"('隼鹰', 0.924)",0_y353_y382_item0.png,隼鹰,隼鹰
"('飞鹰', 0.895)",0_y353_y382_item1.png,飞鹰,飞鹰
"('普林斯顿', 0.879)",0_y353_y382_item2.png,普林斯顿,普林斯顿
"('埃罗芒什', 0.924)",0_y353_y382_item3.png,埃罗芒什,埃罗芒什
"('追赶者', 0.937)",0_y353_y382_item4.png,追赶者,追赶者
"('博格', 0.921)",0_y353_y382_item5.png,博格,博格
"('兰利', 0.952)",0_y353_y382_item6.png,兰利,兰利
"('旁遮普人', 0.923)",0_y359_y387_item0.png,旁遮普人,旁遮普人
"('爱斯基寡人', 0.873)",0_y359_y387_item1.png,爱斯基寡人,爱斯基摩人
"('哥萨克人', 0.929)",0_y359_y387_item2.png,哥萨克人,哥萨克人
"('黑背豺', 0.941)",0_y359_y387_item3.png,黑背豺,黑背豺
"('天后', 0.976)",0_y359_y387_item4.png,天后,天后
"('样枪', 0.932)",0_y359_y387_item5.png,样枪,标枪
"('萤火虫', 0.930)",0_y359_y387_item6.png,萤火虫,萤火虫
"('沙思霍斯特', 0.906)",0_y94_y117_item0.png,沙思霍斯特,沙恩霍斯特
"('雾岛', 0.924)",0_y94_y117_item1.png,雾岛,雾岛
"('榛名', 0.936)",0_y94_y117_item2.png,榛名,榛名
"('比睿', 0.956)",0_y94_y117_item3.png,比睿,比睿
"('什罗普郡', 0.919)",0_y94_y117_item4.png,什罗普郡,什罗普郡
"('巴尔的摩', 0.935)",0_y94_y117_item5.png,巴尔的摩,巴尔的摩
"('旧金山', 0.949)",0_y94_y117_item6.png,旧金山,旧金山
"('埃克赛特', 0.920)",1_y376_y404_item0.png,埃克赛特,埃克赛特
"('约克', 0.936)",1_y376_y404_item1.png,约克,约克
"('新奥尔良', 0.911)",1_y376_y404_item2.png,新奥尔良,新奥尔良
"('休斯顿', 0.874)",1_y376_y404_item3.png,休斯顿,休斯顿
"('北安普蜂', 0.880)",1_y376_y404_item4.png,北安普蜂,北安普顿
"('彭萨科拉', 0.904)",1_y376_y404_item5.png,彭萨科拉,彭萨科拉
"('求`特兰', 0.904)",1_y376_y404_item6.png,求`特兰,波特兰
"('塔什干', 0.907)",1_y400_y428_item0.png,塔什干,塔什干
"('，2*维瓦尔迪', 0.933)",1_y400_y428_item1.png,，2*维瓦尔迪,乌戈里尼·维瓦尔迪
"('奥*达诺利', 0.919)",1_y400_y428_item2.png,奥*达诺利,安东尼奥·达诺利
"('机灵', 0.910)",1_y400_y428_item3.png,机灵,机灵
"('拉菲', 0.941)",1_y400_y428_item4.png,拉菲,拉菲
"('波*特', 0.941)",1_y400_y428_item5.png,波*特,波特
"('威廉*D*波特', 0.922)",1_y400_y428_item6.png,威廉*D*波特,威廉·D·波特
"('Ⅳs轻遣、洋舰', 0.889)",1_y407_y435_item0.png,Ⅳs轻遣、洋舰,IVS轻巡洋舰
"('水中仙女', 0.938)",1_y407_y435_item1.png,水中仙女,水中仙女
"('长田', 0.941)",1_y407_y435_item2.png,长田,长田
"('本明', 0.947)",1_y407_y435_item3.png,本明,本明
"('德意志', 0.867)",1_y407_y435_item4.png,德意志,德意志
"('卡律布迪斯', 0.946)",1_y407_y435_item5.png,卡律布迪斯,卡律布迪斯
"('朱诺', 0.924)",1_y407_y435_item6.png,朱诺,朱诺
"('早春', 0.929)",1_y439_y467_item0.png,早春,早春
"('忠武', 0.916)",1_y439_y467_item1.png,忠武,忠武
"('江原', 0.935)",1_y439_y467_item2.png,江原,江原
"('伏尔塔', 0.937)",1_y439_y467_item3.png,伏尔塔,伏尔塔
"('基辅', 0.905)",1_y439_y467_item4.png,基辅,基辅
"('明斯克', 0.925)",1_y439_y467_item5.png,明斯克,明斯克
"('巴夫勒尔', 0.924)",1_y439_y467_item6.png,巴夫勒尔,巴夫勒尔
"('俄克拉荷马', 0.919)",1_y463_y491_item0.png,俄克拉荷马,俄克拉荷马
"('内华达', 0.918)",1_y463_y491_item1.png,内华达,内华达
"('威尔士亲王', 0.935)",1_y463_y491_item2.png,威尔士亲王,威尔士亲王
"('罗德尼', 0.900)",1_y463_y491_item3.png,罗德尼,罗德尼
"('纳尔逊', 0.941)",1_y463_y491_item4.png,纳尔逊,纳尔逊
"('提尔比茨', 0.922)",1_y463_y491_item5.png,提尔比茨,提尔比茨
"('俾斯麦', 0.913)",1_y463_y491_item6.png,俾斯麦,俾斯麦
"('狮', 0.934)",1_y467_y495_item0.png,狮,狮
"('十三号战舰', 0.949)",1_y467_y495_item1.png,十三号战舰,十三号战舰
"('B65', 0.957)",1_y467_y495_item2.png,B65,B65
"('斯大林格勒', 0.943)",1_y467_y495_item3.png,斯大林格勒,斯大林格勒
"('塞彼利茨', 0.879)",1_y467_y495_item4.png,塞彼利茨,塞德利茨
"('无比', 0.940)",1_y467_y495_item5.png,无比,无比
"('毛奇', 0.940)",1_y467_y495_item6.png,毛奇,毛奇
"('但丁', 0.915)",1_y478_y506_item0.png,但丁,但丁
"('圣乔治', 0.946)",1_y478_y506_item1.png,圣乔治,圣乔治
"('玛丽亚皇后', 0.903)",1_y478_y506_item2.png,玛丽亚皇后,玛丽亚皇后
"('卡约由杜伊里奥', 0.916)",1_y478_y506_item3.png,卡约由杜伊里奥,卡约·杜伊里奥
"('南达科他', 0.921)",1_y478_y506_item4.png,南达科他,南达科他
"('北卡罗来纳', 0.925)",1_y478_y506_item5.png,北卡罗来纳,北卡罗来纳
"('约克公爵', 0.918)",1_y478_y506_item6.png,约克公爵,约克公爵
"('奥希金斯', 0.942)",1_y501_y529_item0.png,奥希金斯,奥希金斯
"('朱诺', 0.916)",1_y501_y529_item1.png,朱诺,朱诺
"('亚特兰大', 0.929)",1_y501_y529_item2.png,亚特兰大,亚特兰大
"('奥马哈', 0.919)",1_y501_y529_item3.png,奥马哈,奥马哈
"('重庆', 0.909)",1_y501_y529_item4.png,重庆,重庆
"('无狼星', 0.882)",1_y501_y529_item5.png,无狼星,天狼星
"('科隆', 0.891)",1_y501_y529_item6.png,科隆,科隆
"('24工程', 0.945)",1_y514_y542_item0.png,24工程,24工程
"('亚拉巴马', 0.929)",1_y514_y542_item1.png,亚拉巴马,亚拉巴马
"('蒙大拿', 0.886)",1_y514_y542_item2.png,蒙大拿,蒙大拿
"('近江', 0.987)",1_y514_y542_item3.png,近江,近江
"('1938削', 0.941)",1_y514_y542_item4.png,1938削,1938(I)
"('克里蒙校', 0.890)",1_y514_y542_item5.png,克里蒙校,克里蒙梭
"('阿方家十三世', 0.935)",1_y514_y542_item6.png,阿方家十三世,阿方索十三世
"('贝尔法斯特', 0.930)",1_y565_y593_item0.png,贝尔法斯特,贝尔法斯特
"('基洛夫', 0.942)",1_y565_y593_item1.png,基洛夫,基洛夫
"('皇格-荷尔施泰因', 0.9)",1_y565_y593_item2.png,皇格-荷尔施泰因,石勒苏益格-荷尔施泰因
"('阿贝克隆比', 0.899)",1_y565_y593_item3.png,阿贝克隆比,阿贝克隆比
"('罗伯茨', 0.919)",1_y565_y593_item4.png,罗伯茨,罗伯茨
"('苏尔特元帅', 0.939)",1_y565_y593_item5.png,苏尔特元帅,苏尔特元帅
"('艾斯沃尔冰', 0.949)",1_y565_y593_item6.png,艾斯沃尔冰,艾斯沃尔德
"('巴格利', 0.943)",1_y577_y606_item0.png,巴格利,巴格利
"('航空兵', 0.938)",1_y577_y606_item1.png,航空兵,航空兵
"('凯尔森', 0.913)",1_y577_y606_item2.png,凯尔森,凯尔森
"('梅雷遍斯', 0.910)",1_y577_y606_item3.png,梅雷遍斯,梅雷迪斯
"('夕将', 0.871)",1_y577_y606_item4.png,夕将,夕雾
"('豹', 0.983)",1_y577_y606_item5.png,豹,豹
"('风暴', 0.919)",1_y577_y606_item6.png,风暴,风暴
"('威斯康星', 0.909)",1_y588_y616_item0.png,威斯康星,威斯康星
"('费拉迪D', 0.961)",1_y588_y616_item1.png,费拉迪D,费拉迪D
"('英王乔治五世', 0.933)",1_y588_y616_item2.png,英王乔治五世,英王乔治五世
"('斯特拉斯堡', 0.935)",1_y588_y616_item3.png,斯特拉斯堡,斯特拉斯堡
"('敦刻尔克', 0.900)",1_y588_y616_item4.png,敦刻尔克,敦刻尔克
"('苏联', 0.935)",1_y588_y616_item5.png,苏联,苏联
"('罗马', 0.956)",1_y588_y616_item6.png,罗马,罗马
"('熊野', 0.893)",1_y594_y622_item0.png,熊野,熊野
"('狑谷', 0.911)",1_y594_y622_item1.png,狑谷,铃谷
"('印第安纳波`利斯', 0.931)",1_y594_y622_item2.png,印第安纳波利斯,印第安纳波利斯
"('波尔扎诺', 0.902)",1_y594_y622_item3.png,波尔扎诺,波尔扎诺
"('大淀', 0.929)",1_y594_y622_item4.png,大淀,大淀
"('最上', 0.924)",1_y594_y622_item5.png,最上,最上
"('CNT巡、洋盘', 0.892)",1_y594_y622_item6.png,CNT巡洋舰,CNT巡洋舰
"('阿尔比翁', 0.914)",1_y596_y625_item0.png,阿尔比翁,阿尔比翁
"('卡德', 0.911)",1_y596_y625_item1.png,卡德,卡德
"('风翔', 0.870)",1_y596_y625_item2.png,风翔,凤翔
"('独角兽', 0.946)",1_y596_y625_item3.png,独角兽,独角兽
"('龙骧', 0.983)",1_y596_y625_item4.png,龙骧,龙骧
"('胜利', 0.920)",1_y596_y625_item5.png,胜利,胜利
"('可畏', 0.969)",1_y596_y625_item6.png,可畏,可畏
"('五月二十五', 0.939)",1_y635_y663_item0.png,五月二十五,五月二十五
"('伊吹', 0.963)",1_y635_y663_item1.png,伊吹,伊吹
"('迪凯纳', 0.899)",1_y635_y663_item2.png,迪凯纳,迪凯纳
"('梅肯', 0.937)",1_y635_y663_item3.png,梅肯,梅肯
"('波士慎', 0.856)",1_y635_y663_item4.png,波士慎,波士顿
"('萨勒姆', 0.904)",1_y635_y663_item5.png,萨勒姆,萨勒姆
"('惕里克', 0.909)",1_y635_y663_item6.png,惕里克,留里克
"('百暇巨人', 0.931)",1_y641_y669_item0.png,百暇巨人,百眼巨人
"('瑞凤', 0.902)",1_y641_y669_item1.png,瑞凤,瑞凤
"('祥凤', 0.923)",1_y641_y669_item2.png,祥凤,祥凤
"('圣洛', 0.954)",1_y641_y669_item3.png,圣洛,圣洛
"('桑加蒙', 0.933)",1_y641_y669_item4.png,桑加蒙,桑加蒙
"('长岛', 0.964)",1_y641_y669_item5.png,长岛,长岛
"('堡垒', 0.912)",1_y641_y669_item6.png,堡垒,堡垒
"('紫石英', 0.927)",1_y646_y674_item0.png,紫石英,紫石英
"('Z31', 0.900)",1_y646_y674_item1.png,Z31,Z31
"('Z28', 0.903)",1_y646_y674_item2.png,Z28,Z28
"('Z22', 0.890)",1_y646_y674_item3.png,Z22,Z22
"('Z21', 0.927)",1_y646_y674_item4.png,Z21,Z21
"('Z16', 0.909)",1_y646_y674_item5.png,Z16,Z16
"('Z1', 0.933)",1_y646_y674_item6.png,Z1,Z1
